SUBJ_ID,DATE,AGE_months,TRIAL,FILTER,QUESTION,VERBAL_SELF_screen,VERBAL_SELF,VERBAL_SURROUNDING_screen,VERBAL_SURROUNDING,VERBAL_AR_FILTER,PERCEPTION,KNOWLEDGE,NON-EXPLAN,OTHER_BEHAV,TOUCH_SELF_screen,TOUCH_SELF,TOUCH_SURROUNDING_screen,TOUCH_SURROUNDING,TOUCH_AR_FILTER,Notes
03_2-3-23,2-3-23,84,1,bubbles,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,How do you know that its not real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,What do you see on the screen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,How do you know that its real?,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,How do you know that is not real?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,What do you see on the screen?,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,How do you know that its real?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,How do you know that its not real?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,What do you see on the screen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
03-2-3-23,2-3-23,84,4,hair,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,How do you know that its real?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,How do you know that its not real?,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
04_2-3-23,2-3-23,112,1,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,1,balloons,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,1,balloons,Is there anything on the screen that is real?,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,1,balloons,How do you know that its real?,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,1,balloons,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,1,balloons,How do you know that its not real?,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,2,bubbles,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,2,bubbles,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,2,bubbles,Is there anything on the screen that is real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,2,bubbles,How do you know that its real?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,2,bubbles,Is there anything on the screen that is not real?,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,2,bubbles,How do you know that its not real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,3,hair,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,3,hair,What do you see on the screen?,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,3,hair,Is there anything on the screen that is real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,3,hair,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,3,hair,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,3,hair,How do you know that its not real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,4,butterflies,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,4,butterflies,What do you see on the screen?,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,4,butterflies,Is there anything on the screen that is real?,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,4,butterflies,How do you know that its real?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,4,butterflies,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
04_2-3-23,2-3-23,112,4,butterflies,How do you know that its not real?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,1,hair,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,1,hair,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
05_2-3-23,2-3-23,50,1,hair,Is there anything on the screen that is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,1,hair,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,1,hair,Is there anything on the screen that is not real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,1,hair,How do you know that its not real?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Participant said ""I don't see eyes or a mouth"""
05_2-3-23,2-3-23,50,2,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,2,balloons,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,2,balloons,Is there anything on the screen that is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,2,balloons,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,2,balloons,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,2,balloons,How do you know that its not real?,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,3,bubbles,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,3,bubbles,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,3,bubbles,Is there anything on the screen that is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,3,bubbles,How do you know that it is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,3,bubbles,Is there anything on the screen that is not real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,3,bubbles,How do you know that its not real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,4,butterflies,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,4,butterflies,What do you see on the screen?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,4,butterflies,Is there anything on the screen that is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,4,butterflies,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,4,butterflies,Is there anything on the screen that is not real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05_2-3-23,2-3-23,50,4,butterflies,How do you know that its not real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,1,hair,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,1,hair,What do you see on the screen?,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,1,hair,Is there anything on the screen that is real?,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,1,hair,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,1,hair,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
06_2-3-23,2-3-23,76,1,hair,How do you know that its not real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,2,butterflies,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,2,butterflies,What do you see on the screen?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,2,butterflies,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,2,butterflies,How do you know that its real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,2,butterflies,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,2,butterflies,How do you know that it is not real?,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
06_2-3-23,2-3-23,76,3,bubbles,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,3,bubbles,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,3,bubbles,Is there anything on the screen that is real?,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,3,bubbles,How do you know that it is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,3,bubbles,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,3,bubbles,How do you know that it is not real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,4,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,4,balloons,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,4,balloons,Is there anything on the screen that is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,4,balloons,How do you know that it is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,4,balloons,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
06_2-3-23,2-3-23,76,4,balloons,How do you know that its not real?,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
07_2-3-23,2-3-23,65,1,bubbles,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,1,bubbles,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,1,bubbles,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
07_2-3-23,2-3-23,65,1,bubbles,How do you know that its real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,1,bubbles,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
07_2-3-23,2-3-23,65,1,bubbles,How do you know that its not real?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,2,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,2,balloons,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,2,balloons,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,2,balloons,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,2,balloons,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,2,balloons,How do you know that its not real?,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
07_2-3-23,2-3-23,65,3,butterflies,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,3,butterflies,What do you see on the screen?,1,0,0,0,1,0,0,0,1,0,0,0,0,1,
07_2-3-23,2-3-23,65,3,butterflies,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
07_2-3-23,2-3-23,65,3,butterflies,How do you know that its real?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,3,butterflies,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
07_2-3-23,2-3-23,65,3,butterflies,How do you know that its not real?,0,1,0,0,0,0,0,0,1,0,0,0,0,1,
07_2-3-23,2-3-23,65,4,hair,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07_2-3-23,2-3-23,65,4,hair,What do you see on the screen?,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
07_2-3-23,2-3-23,65,4,hair,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
07_2-3-23,2-3-23,65,4,hair,How do you know that it is real?,0,0,0,0,0,1,0,0,1,0,0,0,0,1,
07_2-3-23,2-3-23,65,4,hair,Is there anything on the screen that not real?,0,0,0,0,1,0,0,0,1,0,0,0,0,1,
07_2-3-23,2-3-23,65,4,hair,How do you know that it is not real?,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
08_2-3-23,2-3-23,43,1,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,1,balloons,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,1,balloons,Is there anything on the screen that is real?,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,1,balloons,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,1,balloons,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
08_2-3-23,2-3-23,43,1,balloons,How do you know that its not real?,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
08_2-3-23,2-3-23,43,2,bubbles,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,2,bubbles,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
08_2-3-23,2-3-23,43,2,bubbles,Is there anything on the screen that is real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,2,bubbles,How do you know that it is real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,2,bubbles,Is there anything on the screen that is not real?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,2,bubbles,How do you know that it is not real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,3,hair,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,3,hair,What do you see on the screen?,1,0,0,0,0,0,0,0,1,0,0,0,0,1,
08_2-3-23,2-3-23,43,3,hair,Is there anything on the screent that is real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,3,hair,How do you know that it is real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,3,hair,Is there anything on the screen that is not real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,3,hair,How do you know that it is not real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,4,butterflies,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,4,butterflies,What do you see on the screen?,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
08_2-3-23,2-3-23,43,4,butterflies,Is there anything on the screen that is real?,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
08_2-3-23,2-3-23,43,4,butterflies,How do you know that it is real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,4,butterflies,Is there anything on the screen that is not real?,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
08_2-3-23,2-3-23,43,4,butterflies,How do you know that it is not real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,1,butterflies,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,1,butterflies,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
09_2-3-23,2-3-23,48,1,butterflies,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,1,butterflies,How do you know that it is real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,1,butterflies,Is there anything on the screen that is not real?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,1,butterflies,How do you know that it is not real?,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
09_2-3-23,2-3-23,48,2,hair,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,2,hair,What do you see on the screen?,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
09_2-3-23,2-3-23,48,2,hair,Is there anything on the screen that is real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,2,hair,How do you know that it is real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,2,hair,Is there anything on the screen that is not real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,2,hair,How do you know that it is not real?,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,3,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,3,balloons,What do you see on the screen?,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,3,balloons,Is there anything on the screen that is real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,3,balloons,How do you know that it is real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,3,balloons,Is there anything on the screen that is not real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,3,balloons,How do you know that is not real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,4,bubbles,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,4,bubbles,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,4,bubbles,Is there anything on the screen that is real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,4,bubbles,How do you know that it is real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,4,bubbles,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
09_2-3-23,2-3-23,48,4,bubbles,How do you know that it is not real?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
12_2-4-23,2-4-23,95,1,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12_2-4-23,2-4-23,95,1,balloons,What do you see on the screen?,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
12_2-4-23,2-4-23,95,1,balloons,Is there anything on the screen that is real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
12_2-4-23,2-4-23,95,1,balloons,How do you know that it is real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
